iter	Passed	Remaining
211	6520	8858
212	6551	8826
213	6583	8798
214	6614	8767
215	6645	8737
216	6675	8705
217	6707	8676
218	6738	8646
219	6768	8614
220	6798	8582
221	6827	8550
222	6858	8519
223	6887	8486
224	6917	8455
225	6946	8422
226	6978	8392
227	7005	8357
228	7035	8326
229	7065	8294
230	7096	8263
231	7128	8234
232	7158	8203
233	7188	8171
234	7220	8142
235	7252	8113
236	7281	8080
237	7311	8048
238	7340	8016
239	7371	7985
240	7402	7955
241	7434	7926
242	7467	7897
243	7502	7871
244	7537	7845
245	7570	7816
246	7604	7788
247	7636	7759
248	7669	7731
249	7698	7698
250	7729	7667
251	7760	7637
252	7792	7607
253	7821	7575
254	7856	7548
255	7889	7519
256	7920	7489
257	7955	7461
258	7983	7429
259	8017	7400
260	8050	7371
261	8085	7344
262	8116	7314
263	8150	7285
264	8184	7257
265	8217	7229
266	8252	7201
267	8288	7175
268	8323	7148
269	8358	7119
270	8390	7090
271	8428	7065
272	8463	7037
273	8497	7009
274	8531	6980
275	8565	6951
276	8596	6920
277	8627	6889
278	8659	6859
279	8689	6827
280	8721	6797
281	8748	6762
282	8777	6730
283	8808	6699
284	8836	6666
285	8869	6636
286	8896	6602
287	8926	6570
288	8955	6538
289	8987	6508
290	9017	6476
291	9047	6445
292	9077	6413
293	9111	6384
294	9143	6353
295	9173	6322
296	9205	6292
297	9235	6260
298	9267	6229
299	9298	6199
300	9330	6168
301	9355	6133
302	9386	6102
303	9420	6073
304	9450	6041
305	9479	6010
306	9511	5979
307	9543	5949
308	9575	5918
309	9604	5886
310	9635	5855
311	9666	5824
312	9697	5793
313	9729	5763
314	9759	5731
315	9789	5700
316	9819	5668
317	9851	5638
318	9881	5606
319	9913	5576
320	9943	5544
321	9975	5514
322	10007	5484
323	10038	5453
324	10069	5422
325	10099	5390
326	10130	5359
327	10164	5330
328	10195	5299
329	10225	5267
330	10255	5236
331	10289	5206
332	10320	5175
333	10353	5145
334	10389	5117
335	10421	5086
336	10452	5055
337	10491	5028
338	10526	4999
339	10559	4969
340	10591	4938
341	10621	4907
342	10653	4876
343	10689	4847
344	10725	4818
345	10755	4787
346	10785	4755
347	10818	4725
348	10847	4693
349	10879	4662
350	10909	4631
351	10941	4600
352	10973	4569
353	11002	4537
354	11034	4507
355	11066	4476
356	11097	4445
357	11131	4415
358	11161	4383
359	11199	4355
360	11236	4326
361	11270	4296
362	11299	4264
363	11330	4233
364	11364	4203
365	11398	4173
366	11434	4143
367	11470	4114
368	11503	4084
369	11535	4053
370	11564	4021
371	11593	3988
372	11625	3958
373	11656	3926
374	11686	3895
375	11722	3865
376	11753	3834
377	11782	3802
378	11812	3771
379	11846	3740
380	11877	3709
381	11906	3677
382	11936	3646
383	11967	3615
384	12001	3584
385	12034	3554
386	12068	3523
387	12102	3493
388	12132	3462
389	12165	3431
390	12196	3400
391	12230	3369
392	12262	3338
393	12294	3307
394	12324	3276
395	12354	3244
396	12383	3212
397	12420	3183
398	12454	3152
399	12490	3122
400	12520	3091
401	12549	3059
402	12582	3028
403	12611	2996
404	12643	2965
405	12674	2934
406	12704	2902
407	12735	2871
408	12768	2840
409	12799	2809
410	12831	2778
411	12865	2747
412	12895	2716
413	12927	2685
414	12959	2654
415	12989	2622
416	13019	2591
417	13049	2559
418	13080	2528
419	13113	2497
420	13143	2466
421	13171	2434
422	13201	2403
423	13233	2371
424	13265	2340
425	13295	2309
426	13324	2278
427	13357	2247
428	13386	2215
429	13419	2184
430	13450	2153
431	13482	2122
432	13515	2091
433	13546	2060
434	13577	2028
435	13610	1997
436	13640	1966
437	13670	1935
438	13700	1903
439	13731	1872
440	13759	1840
441	13787	1809
442	13816	1777
443	13846	1746
444	13874	1714
445	13903	1683
446	13934	1652
447	13968	1621
448	13997	1589
449	14028	1558
450	14060	1527
451	14094	1496
452	14125	1465
453	14155	1434
454	14184	1402
455	14213	1371
456	14245	1340
457	14277	1309
458	14309	1278
459	14342	1247
460	14375	1216
461	14404	1184
462	14433	1153
463	14462	1122
464	14491	1090
465	14523	1059
466	14553	1028
467	14583	997
468	14614	966
469	14642	934
470	14675	903
471	14704	872
472	14735	841
473	14766	809
474	14797	778
475	14830	747
476	14860	716
477	14889	685
478	14916	653
479	14946	622
480	14974	591
481	15003	560
482	15032	529
483	15063	497
484	15091	466
485	15119	435
486	15148	404
487	15177	373
488	15209	342
489	15238	310
490	15266	279
491	15296	248
492	15324	217
493	15356	186
494	15386	155
495	15415	124
496	15448	93
497	15479	62
498	15512	31
499	15544	0
