iter	Logloss
367	0.4988006088
368	0.4987799368
369	0.498773863
370	0.4987651049
371	0.4987575836
372	0.4987489168
373	0.4987400358
374	0.4987325679
375	0.4987266881
376	0.4987212362
377	0.4987155258
378	0.4987117124
379	0.4987032563
380	0.4986965132
381	0.4986902399
382	0.4986833515
383	0.498674574
384	0.4986689665
385	0.4986602649
386	0.4986499273
387	0.4986437667
388	0.4986369137
389	0.4986309361
390	0.4986226361
391	0.4985633818
392	0.4985570741
393	0.498549295
394	0.4985434962
395	0.4985368011
396	0.4985311001
397	0.4985203743
398	0.4985139616
399	0.4985058939
400	0.4984975717
401	0.4984915061
402	0.4984835006
403	0.4984764383
404	0.4984703222
405	0.4984638251
406	0.4984559614
407	0.4984465748
408	0.4984398328
409	0.4984331856
410	0.498426006
411	0.4984150352
412	0.498408514
413	0.4984033939
414	0.4983936001
415	0.4983838806
416	0.4983749353
417	0.4983679754
418	0.4983611668
419	0.4983495602
420	0.4983432881
421	0.4983352937
422	0.4983290962
423	0.4983208669
424	0.4983110541
425	0.4983033781
426	0.4982942332
427	0.4982831748
428	0.498276551
429	0.498271047
430	0.4982605363
431	0.4982525122
432	0.4982436229
433	0.4982366864
434	0.4982291704
435	0.4982205071
436	0.4982123146
437	0.4982051308
438	0.4981979415
439	0.498193358
440	0.498187475
441	0.498179913
442	0.4981722917
443	0.4981667755
444	0.498160369
445	0.4981533434
446	0.4981459028
447	0.4981350585
448	0.4981280352
449	0.4981220028
450	0.4980789039
451	0.4980685924
452	0.4980585408
453	0.4980512262
454	0.4980435485
455	0.4980366988
456	0.4980285389
457	0.4980201175
458	0.4980118608
459	0.4980041376
460	0.4979943902
461	0.4979885719
462	0.4979737505
463	0.4979665362
464	0.4979587731
465	0.4979528922
466	0.497942539
467	0.4979358333
468	0.4979272351
469	0.497921106
470	0.497908344
471	0.4979020468
472	0.4978918816
473	0.4978814799
474	0.4978723249
475	0.4978562742
476	0.4978485158
477	0.4978391909
478	0.4978326375
479	0.4978249347
480	0.497818853
481	0.4978114019
482	0.4978033982
483	0.4977955225
484	0.497789166
485	0.4977804232
486	0.4977726965
487	0.497765158
488	0.4977557696
489	0.4977481871
490	0.4977411165
491	0.497734346
492	0.4977257264
493	0.4977159545
494	0.4977057767
495	0.4976964153
496	0.4976769977
497	0.497668783
498	0.4976504342
499	0.4976391668
