iter	Logloss
0	0.6764140472
1	0.6615858605
2	0.6484019239
3	0.6376816916
4	0.6277389894
5	0.619841523
6	0.6102983476
7	0.6023722238
8	0.596220605
9	0.5909261723
10	0.5859907292
11	0.5793701657
12	0.5737087716
13	0.569218083
14	0.5652833624
15	0.5622408059
16	0.5592049118
17	0.5559127925
18	0.5534012483
19	0.5508322506
20	0.5473392861
21	0.5441042036
22	0.5422242171
23	0.5398867249
24	0.5381759386
25	0.536510104
26	0.5347237216
27	0.5328392805
28	0.5315580096
29	0.5301229803
30	0.529092296
31	0.5271085046
32	0.5260902658
33	0.5247473342
34	0.5237429291
35	0.5227286903
36	0.5220140007
37	0.5210024933
38	0.5203729112
39	0.5191658762
40	0.5185975971
41	0.5180038819
42	0.5174736446
43	0.5169445667
44	0.5161450375
45	0.5151631587
46	0.514771272
47	0.5142547847
48	0.5138368628
49	0.5135238558
50	0.5131597788
51	0.5128045581
52	0.5124643649
53	0.5121975921
54	0.5113826546
55	0.5105953225
56	0.5103333847
57	0.5100283753
58	0.5097700497
59	0.5093371732
60	0.5091618999
61	0.5086574231
62	0.5084642041
63	0.5082954972
64	0.5077730099
65	0.5076296682
66	0.5074838033
67	0.5073664685
68	0.5071198445
69	0.5068956348
70	0.5068034044
71	0.50667587
72	0.506436705
73	0.5063099446
74	0.5062188359
75	0.5060938754
76	0.5059681901
77	0.5058971044
78	0.5057118866
79	0.5056380958
80	0.5055546147
81	0.5054982071
82	0.5054285554
83	0.5053826609
84	0.5052166361
85	0.5051403839
86	0.5050925597
87	0.5050185923
88	0.5047570473
89	0.5046994717
90	0.5046540537
91	0.5045966488
92	0.5045462901
93	0.5043273023
94	0.5040901413
95	0.5040374183
96	0.5039810205
97	0.5039316429
98	0.503827954
99	0.503608076
100	0.5035599278
101	0.5035140068
102	0.5034639541
103	0.5034183296
104	0.5032945241
105	0.503264503
106	0.503228934
107	0.5031993067
108	0.5030586901
109	0.5030336466
110	0.5030139717
111	0.5029730119
112	0.5029442956
113	0.5028470445
114	0.5028276402
115	0.5026376463
116	0.5025861634
117	0.5025456888
118	0.5024613065
119	0.5024041795
120	0.502354056
121	0.5022945103
122	0.5022683977
123	0.5022328219
124	0.5021944528
125	0.5021774222
126	0.5021536289
127	0.5021307597
128	0.5021072199
129	0.5020717723
130	0.5020541589
131	0.5020200619
132	0.5019239555
133	0.5019039265
134	0.5018887872
135	0.5018691114
136	0.5018561794
137	0.501834528
138	0.5018124006
139	0.5017408072
140	0.5017130611
141	0.5016608786
142	0.5016287371
143	0.5015877857
144	0.5015690327
145	0.5015554861
146	0.50153951
147	0.5015161922
148	0.501501817
149	0.5014664132
150	0.5014510563
151	0.501428355
152	0.5013959572
153	0.5013854477
154	0.501348431
155	0.5013321227
156	0.5013195526
157	0.5013073885
158	0.5012936436
159	0.5012704351
160	0.5012577531
161	0.5012207173
162	0.5011777177
163	0.5011675454
164	0.5011565063
165	0.5011455638
166	0.5011338766
167	0.5011231378
168	0.5011039262
169	0.5010944882
170	0.5010831049
171	0.5010596022
172	0.5010503093
173	0.5010332297
174	0.5010250727
175	0.5010101358
176	0.500904624
177	0.5008663268
178	0.5008555884
179	0.5008322455
180	0.5008230906
181	0.5008130802
182	0.5008035647
183	0.5007931844
184	0.5007846391
185	0.500774985
186	0.500762292
187	0.500746629
188	0.5007363642
189	0.5007186318
190	0.5006981046
191	0.5006886613
192	0.5006797628
193	0.5006668019
194	0.5006459887
195	0.500638498
196	0.5006240401
197	0.5006155099
198	0.5006043932
199	0.5005919146
200	0.5005829429
201	0.500560113
202	0.5005452143
203	0.5005340098
204	0.5005216727
205	0.5005108383
206	0.500498403
207	0.5004896254
208	0.5004789856
209	0.5004679379
210	0.5004553256
211	0.5004473744
212	0.5004371289
213	0.5003926576
214	0.5003821909
215	0.500353827
216	0.5003432835
217	0.5003177362
218	0.5003065189
219	0.5002963425
220	0.5002894599
221	0.5002782445
222	0.5002675961
223	0.5002614834
224	0.500252231
225	0.5002412152
226	0.5002288284
227	0.500217664
228	0.5002083605
229	0.5001916903
230	0.500184788
231	0.5001769974
232	0.5001670518
233	0.5001585121
234	0.5001485412
235	0.5001369045
236	0.5001284707
237	0.5001200884
238	0.5001130304
239	0.5000986546
240	0.5000908803
241	0.5000850007
242	0.5000770538
243	0.5000623579
244	0.5000508065
245	0.5000392595
246	0.5000320578
247	0.5000263872
248	0.5000174858
249	0.5000140213
250	0.5000038649
251	0.49999688
252	0.4999903835
253	0.4999825051
254	0.4999629688
255	0.4999537928
256	0.4999459042
257	0.4999364997
258	0.4999284677
259	0.4999197187
260	0.4999121981
261	0.4999040477
262	0.499892068
263	0.4998863424
264	0.4998772698
265	0.4998684849
266	0.4998606169
267	0.499837304
268	0.4998183886
269	0.4997574173
270	0.4997487328
271	0.4997393485
272	0.4997273129
273	0.4996795628
274	0.4996704764
275	0.4996634152
276	0.4996565257
277	0.499625059
278	0.4996193501
279	0.499604779
280	0.4995975211
281	0.4995924925
282	0.4995878266
283	0.4995781833
284	0.4995669379
285	0.499554463
286	0.4995488329
287	0.49954258
288	0.4995349639
289	0.4995250788
290	0.4995183314
291	0.4995058774
292	0.4994991181
293	0.4994874345
294	0.4994800385
295	0.4994729324
296	0.4994625238
297	0.4994472793
298	0.4994383458
299	0.4994315991
300	0.4994232079
301	0.4994162151
302	0.4994063596
303	0.4993948184
304	0.4993870573
305	0.4993550103
306	0.4993458177
307	0.4993346895
308	0.4993229066
309	0.4993154643
310	0.4993058757
311	0.4992974585
312	0.499287019
313	0.499278813
314	0.4992728408
315	0.4992649614
316	0.4992475089
317	0.4992395411
318	0.4992324721
319	0.4992267603
320	0.4992203822
321	0.4992115088
322	0.499203841
323	0.4991971077
324	0.4991912619
325	0.4991860961
326	0.4991813084
327	0.4991674482
328	0.4991594522
329	0.4991546238
330	0.4991454414
331	0.4991182152
332	0.4991126182
333	0.4991067065
334	0.4990972771
335	0.499089068
336	0.4990561834
337	0.4990480298
338	0.4990401207
339	0.4990328542
340	0.4990283602
341	0.4990212284
342	0.4990142072
343	0.4990064391
344	0.498999344
345	0.4989936712
346	0.498986598
347	0.4989758069
348	0.4989663428
349	0.4989518729
350	0.4989461369
351	0.4989398951
352	0.4989309916
353	0.4989228094
354	0.4989151151
355	0.4988926467
356	0.4988836618
357	0.498874584
358	0.4988691817
359	0.4988633109
360	0.4988509255
361	0.4988462224
362	0.498837942
363	0.4988298294
364	0.4988227888
365	0.4988149315
366	0.4988084512
